Times,Data
0.0,0.0
1.0,0.0
2.0,5.957
3.0,17.639
4.0,29.396
5.0,23.514
6.0,35.266
7.0,29.483
8.0,35.281
9.0,29.384
10.0,29.376
11.0,35.258
12.0,29.381
13.0,35.255
14.0,29.38
15.0,35.312
16.0,30.001
17.0,29.37
18.0,35.243
19.0,29.363
Times,Data
0.0,0.0
1.0,0.0
2.0,17.773
3.0,46.94
4.0,52.729
5.0,59.824
6.0,70.283
7.0,64.417
8.0,71.75
9.0,68.829
10.0,72.86
11.0,70.283
12.0,70.256
13.0,71.736
14.0,76.088
15.0,70.243
16.0,71.845
17.0,70.259
18.0,76.079
19.0,70.211
Times,Data
0.0,0.0
1.0,0.0
2.0,35.373
3.0,70.039
4.0,89.39
5.0,99.37
6.0,105.067
7.0,107.268
8.0,104.983
9.0,113.197
10.0,110.824
11.0,115.056
12.0,110.723
13.0,113.17
14.0,110.811
15.0,113.122
16.0,110.803
17.0,110.794
18.0,113.312
19.0,110.807
Times,Data
0.0,0.0
1.0,41.084
2.0,94.998
3.0,122.122
4.0,136.56
5.0,145.124
6.0,148.666
7.0,154.36
8.0,151.135
9.0,154.306
10.0,154.282
11.0,156.9
12.0,158.004
13.0,154.366
14.0,151.106
15.0,154.24
16.0,160.16
17.0,151.055
18.0,154.223
19.0,156.871
Times,Data
0.0,0.0
1.0,54.68
2.0,118.33
3.0,153.77
4.0,167.999
5.0,183.305
6.0,189.196
7.0,189.548
8.0,189.262
9.0,195.116
10.0,191.085
11.0,195.079
12.0,195.094
13.0,198.803
14.0,195.161
15.0,195.041
16.0,196.808
17.0,194.981
18.0,194.981
19.0,194.958
Times,Data
0.0,0.0
1.0,64.439
2.0,135.597
3.0,176.771
4.0,206.201
5.0,212.027
6.0,223.858
7.0,229.74
8.0,230.147
9.0,229.811
10.0,229.722
11.0,229.713
12.0,229.66
13.0,229.678
14.0,232.905
15.0,229.74
16.0,229.607
17.0,229.59
18.0,235.44
19.0,235.422
Times,Data
0.0,0.0
1.0,0.0
2.0,155.915
3.0,205.575
4.0,228.894
5.0,240.623
6.0,251.764
7.0,258.249
8.0,264.058
9.0,270.361
10.0,270.04
11.0,269.957
12.0,275.644
13.0,269.843
14.0,269.843
15.0,272.686
16.0,268.979
17.0,269.905
18.0,269.739
19.0,269.739
Times,Data
0.0,0.0
1.0,0.0
2.0,76.336
3.0,224.914
4.0,251.598
5.0,269.008
6.0,280.68
7.0,286.486
8.0,292.31
9.0,292.065
10.0,292.78
11.0,298.259
12.0,298.491
13.0,303.921
14.0,304.39
15.0,309.754
16.0,307.575
17.0,303.991
18.0,303.886
19.0,310.237
Times,Data
0.0,0.0
1.0,0.0
2.0,87.589
3.0,184.381
4.0,244.681
5.0,292.496
6.0,302.915
7.0,309.248
8.0,321.13
9.0,326.055
10.0,327.039
11.0,338.279
12.0,333.05
13.0,337.712
14.0,338.826
15.0,337.635
16.0,338.72
17.0,336.24
18.0,338.931
19.0,337.494
Times,Data
0.0,0.0
1.0,0.0
2.0,94.06
3.0,201.13
4.0,266.212
5.0,317.081
6.0,337.201
7.0,347.44
8.0,348.804
9.0,354.688
10.0,354.675
11.0,354.606
12.0,355.237
13.0,353.258
14.0,354.606
15.0,360.405
16.0,360.391
17.0,360.349
18.0,358.805
19.0,360.516
